neighbourhood,area,rooms,parking,bathrooms,price,lat_value,lon_value,has_multiple_parking_spaces
Vila Guaianazes,124.67,4,3,5,1900000.0,-23.2035631,-45.8969895,1
Cidade Morumbi,124.84,2,1,1,285000.0,-23.2434773,-45.9058528,0
Parque Residencial Aquarius,124.97,2,1,2,598000.0,-23.2202839,-45.9064383,0
Jardim Petrópolis,124.24,3,2,2,477000.0,-23.2415541,-45.9145547,1
Jardim das Indústrias,124.28,2,1,1,320000.0,-23.2341234,-45.9256624,0
Jardim América,124.89,2,1,1,450000.0,-23.2308616,-45.8942314,0
Conjunto Residencial Trinta e Um de Março,124.98,2,1,2,395000.0,-23.2534054,-45.9166353,0
Jardim Oriente,124.55,2,2,2,400000.0,-23.2417591,-45.8945046,1
Jardim das Indústrias,124.59,3,3,3,1385000.0,-23.2327074,-45.9275569,1
Jardim Satélite,124.14,3,2,2,555000.0,-23.2161228,-45.8885458,1
Jardim Fátima,124.38,2,2,3,1100000.0,-23.2078926,-45.8966025,1
Loteamento Floresta,124.24,3,2,2,1437000.0,-23.2296359,-45.8246352,1
Floradas de São José,124.19,3,1,2,475000.0,-23.2213004,-45.8883248,0
Jardim Satélite,124.11,3,1,1,350000.0,-23.2233825,-45.8847575,0
Centro,124.94,3,2,4,650000.0,-23.2140071,-45.841297,1
Vila Tatetuba,124.09,3,1,2,450000.0,-23.1853312,-45.8543047,0
Jardim das Colinas,124.05,4,3,5,2332000.0,-23.2034236,-45.9105214,1
Vila Ema,124.69,3,2,3,670000.0,-23.2071612,-45.9009565,1
Parque Residencial Aquarius,124.35,2,1,1,598000.0,-23.2202839,-45.9064383,0
Vila Sanches,124.44,1,1,2,480000.0,-23.2041152,-45.8853984,0
Jardim América,124.92,2,1,2,324000.0,-23.2308616,-45.8942314,0
Jardim Satélite,124.72,2,2,2,600000.0,-23.2629313,-45.8910605,1
Vila Ema,124.34,1,2,1,750000.0,-23.2092982,-45.9032947,1
Vila Ema,124.92,1,2,2,745000.0,-23.2092982,-45.9032947,1
Jardim Oswaldo Cruz,124.15,2,1,1,380000.0,-23.1982391,-45.8827334,0
Jardim das Indústrias,124.26,3,3,3,930000.0,-23.2327074,-45.9275569,1
Jardim das Indústrias,124.51,3,2,2,545000.0,-23.2276655,-45.9184689,1
Vila Ema,124.04,2,1,1,460000.0,-23.2028182,-45.9003141,0
Parque Industrial,124.22,2,2,2,700000.0,-23.2534054,-45.9166353,1
Jardim Americano,124.61,2,1,1,245000.0,-23.1836107,-45.8043034,0
Jardim Paraíso,124.28,3,2,2,584000.0,-23.237943,-45.9011183,1
Jardim Satélite,124.68,2,1,1,360000.0,-23.2264164,-45.8945991,0
Bosque dos Eucaliptos,124.05,2,0,1,230000.0,-23.2455112,-45.8846834,0
Vila Ema,124.42,3,2,3,1199000.0,-23.2071612,-45.9009565,1
Parque Residencial Aquarius,124.53,3,3,5,1889500.0,-23.2188486,-45.9097772,1
Vila Betânia,124.89,3,2,2,670000.0,-23.2052682,-45.8881552,1
Jardim Esplanada,124.32,2,2,2,616000.0,-23.1979166,-45.9113619,1
Parque Residencial Aquarius,124.79,3,2,2,645000.0,-23.2131162,-45.9078311,1
Vila Industrial,124.49,2,1,2,421001.0,-23.177608,-45.859793,0
Condomínio Residencial Colinas do Paratehy,124.28,2,1,2,419900.0,-23.1841579,-45.9547335,0
Jardim América,124.93,3,2,3,790000.0,-23.2265205,-45.8968879,1
Bosque dos Eucaliptos,124.46,3,2,2,535000.0,-23.2629313,-45.8910605,1
Jardim São Dimas,124.14,1,1,1,320000.0,-23.2034889,-45.8845846,0
Floradas de São José,124.45,3,1,2,475000.0,-23.2213004,-45.8883248,0
Jardim das Colinas,124.93,4,3,5,2700000.0,-23.2034236,-45.9105214,1
Vila Adyana,124.55,4,3,5,3000000.0,-23.2002824,-45.8940021,1
Jardim Nova América,124.14,3,1,2,700000.0,-23.1924655,-45.8963467,0
Cidade Morumbi,124.85,3,2,2,430000.0,-23.2499985,-45.9083387,1
Jardim Portugal,124.58,3,1,2,459000.0,-23.258028,-45.881022,0
Jardim América,124.12,3,2,3,850000.0,-23.2265205,-45.8968879,1
Vila Adyana,124.66,3,1,3,1150000.0,-23.1968045,-45.8943248,0
Jardim América,124.08,3,1,2,445001.0,-23.225225,-45.8971092,0
Parque Industrial,124.65,2,1,2,390000.0,-23.2341477,-45.9050416,0
Jardim das Indústrias,124.11,3,2,2,1230000.0,-23.2341234,-45.9256624,1
Jardim Sul,124.37,2,1,1,296800.0,-23.2505639,-45.8914715,0
Jardim das Colinas,124.93,2,2,2,945780.0,-23.1985042,-45.9128647,1
Jardim América,124.45,3,1,1,769000.0,-23.2319718,-45.8942925,0
Jardim Oriente,124.01,2,1,1,369000.0,-23.2402544,-45.8933781,0
Parque Industrial,124.52,3,2,2,685000.0,-23.2267306,-45.9036805,1
